"slug","id","activo","curul","video_url","partido","partido_id","partidoP","provincia","provincia_id","tipo","nombre","nombre1","nombre2","genero","comision","twitter","video_texto","urlImagen","urlDetalle","csvDetalle"
"marcela-paola-aguinaga-vallejo",182,1,1,"","Otro movimiento",41,"Otro movimiento","Guayas",6,"Provincial","Marcela Paola Aguiñaga Vallejo","Marcela Paola","Aguiñaga Vallejo","Femenino","Derechos Colectivos, Comunitarios y la Interculturalidad","marcelaguinaga","","/media/fotos_asambleistas/agui%C3%B1aga_1.png","/composicion/asambleistas/marcela-paola-aguinaga-vallejo/","https://observatoriolegislativo.ec/informes/asambleistas/descarga/detalle-votos/marcela-paola-aguinaga-vallejo?formato=csv"
"claudio-esteban-albornoz-vintimilla",206,1,2,"","Alianza PAIS- Socialista",24,"Alianza PAIS","Azuay",10,"Provincial","Claudio Esteban Albornoz Vintimilla","Claudio Esteban","Albornoz Vintimilla","Masculino","Desarrollo Económico, Productivo y la Microempresa","@ealbornozv","","/media/fotos_asambleistas/albornoz_renKfY3.png","/composicion/asambleistas/claudio-esteban-albornoz-vintimilla/","https://observatoriolegislativo.ec/informes/asambleistas/descarga/detalle-votos/claudio-esteban-albornoz-vintimilla?formato=csv"
"jose-ricardo-serrano-salgado",185,1,3,"","Alianza PAIS",21,"Alianza PAIS","Nacional",25,"Nacional","José Ricardo Serrano Salgado","José Ricardo","Serrano Salgado","Masculino","Justicia y Estructura del Estado
Fiscalización y Control Político","@ppsesa","","/media/fotos_asambleistas/serrano.png","/composicion/asambleistas/jose-ricardo-serrano-salgado/","https://observatoriolegislativo.ec/informes/asambleistas/descarga/detalle-votos/jose-ricardo-serrano-salgado?formato=csv"
"veronica-elizabeth-arias-fernandez",186,1,4,"","Otro movimiento",41,"Otro movimiento","Loja",16,"Provincial","Verónica Elizabeth Arias Fernández","Verónica Elizabeth","Arias Fernández","Femenino","Derechos de los Trabajadores y la Seguridad Social","@veronicaariasf","","/media/fotos_asambleistas/Ver%C3%B3nica_Arias-_BC.png","/composicion/asambleistas/veronica-elizabeth-arias-fernandez/","https://observatoriolegislativo.ec/informes/asambleistas/descarga/detalle-votos/veronica-elizabeth-arias-fernandez?formato=csv"
"alberto-jesus-arias-ramirez",187,1,5,"","Alianza PAIS",21,"Alianza PAIS","Guayas",6,"Provincial","Alberto Jesús Arias Ramírez","Alberto Jesús","Arias Ramírez","Masculino","Derechos de los Trabajadores y la Seguridad Social","@albertoariasra","","/media/fotos_asambleistas/arias_a.png","/composicion/asambleistas/alberto-jesus-arias-ramirez/","https://observatoriolegislativo.ec/informes/asambleistas/descarga/detalle-votos/alberto-jesus-arias-ramirez?formato=csv"
"marcia-cecilia-arregui-rueda",188,1,6,"","Alianza PAIS",21,"Alianza PAIS","Los Ríos",9,"Provincial","Marcia Cecilia Arregui Rueda","Marcia Cecilia","Arregui Rueda","Femenino","Soberanía Alimentaria y Desarrollo del Sector Agropecuario y Pesquero","@marciarregui","","/media/fotos_asambleistas/arregui.png","/composicion/asambleistas/marcia-cecilia-arregui-rueda/","https://observatoriolegislativo.ec/informes/asambleistas/descarga/detalle-votos/marcia-cecilia-arregui-rueda?formato=csv"
"karina-cecilia-arteaga-munoz",189,1,7,"","Alianza PAIS-Unidad Primero",23,"Alianza PAIS","Manabí",5,"Provincial","Karina Cecilia Arteaga Muñoz","Karina Cecilia","Arteaga Muñoz","Femenino","Derechos de los Trabajadores y la Seguridad Social","@Kary_Arteaga","","/media/fotos_asambleistas/arteaga.png","/composicion/asambleistas/karina-cecilia-arteaga-munoz/","https://observatoriolegislativo.ec/informes/asambleistas/descarga/detalle-votos/karina-cecilia-arteaga-munoz?formato=csv"
"zoila-teresa-benavides-zambrano",190,1,8,"","Alianza PAIS-Unidad Primero",23,"Alianza PAIS","Manabí",5,"Provincial","Zoila Teresa Benavides Zambrano","Zoila Teresa","Benavides Zambrano","Femenino","Educación, Cultura y Ciencia y Tecnología","@Tereasambleista","","/media/fotos_asambleistas/benavides.png","/composicion/asambleistas/zoila-teresa-benavides-zambrano/","https://observatoriolegislativo.ec/informes/asambleistas/descarga/detalle-votos/zoila-teresa-benavides-zambrano?formato=csv"
"carlos-alberto-bergmann-reyna",191,1,9,"","Alianza PAIS-Unidad Primero",23,"Alianza PAIS","Manabí",5,"Provincial","Carlos Alberto Bergmann Reyna","Carlos Alberto","Bergmann Reyna","Masculino","Soberanía Alimentaria y Desarrollo del Sector Agropecuario y Pesquero","@bergmannerestu","","/media/fotos_asambleistas/bergman.png","/composicion/asambleistas/carlos-alberto-bergmann-reyna/","https://observatoriolegislativo.ec/informes/asambleistas/descarga/detalle-votos/carlos-alberto-bergmann-reyna?formato=csv"
"viviana-patricia-bonilla-salcedo",192,1,10,"","Independiente",12,"Independiente","Nacional",25,"Nacional","Viviana Patricia Bonilla Salcedo","Viviana Patricia","Bonilla Salcedo","Femenino","Justicia y Estructura del Estado","@viviana_bonilla","","/media/fotos_asambleistas/bonilla_rzeZgKH.png","/composicion/asambleistas/viviana-patricia-bonilla-salcedo/","https://observatoriolegislativo.ec/informes/asambleistas/descarga/detalle-votos/viviana-patricia-bonilla-salcedo?formato=csv"
